mpio,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abasolo,1886,1887,1613,1422,1636,1484,1437,1588,1499,1670,1575,1531,1607,1537,1437,1423,1431,1404,1365,1093,1088,918,1051,1038,1050,1220,1348,1638,1764,1665,1472,1420
Acámbaro,3627,3523,3654,3558,3504,3398,3300,3351,3791,3863,3669,3659,3688,3549,3494,3582,3527,2998,3131,3335,3347,3085,3414,3139,2864,2973,2941,2731,2795,2912,2766,2676
San Miguel de Allende,4709,4403,4790,4615,5023,4555,4422,5021,5080,5061,4735,4533,5073,4438,4560,4347,4266,4153,4716,3985,4116,3871,4256,4133,3845,3806,3648,3497,3260,3239,3493,3417
Apaseo el Alto,1445,1411,1346,1315,1221,1199,1102,1124,1127,1239,1231,1284,1286,1302,1356,1385,1374,1247,1242,1137,1061,1078,1053,1002,980,927,902,1164,1383,1279,1302,1373
Apaseo el Grande,1541,1413,1487,1324,1285,1265,1226,1158,1124,1185,1058,1057,981,1062,986,1050,978,912,810,740,655,714,925,1028,1047,1032,1123,944,895,836,841,899
Atarjea,195,174,170,171,163,173,165,167,164,166,173,126,133,124,153,113,102,135,76,85,69,59,65,47,40,48,35,26,4,5,8,6
Celaya,13521,14151,14557,14311,15193,15371,14667,15669,15548,15518,14577,14273,14302,14653,14770,14339,14668,14316,14484,14906,14880,14094,14779,14203,13356,12880,12723,12417,12191,12126,12196,11777
Manuel Doblado,1354,1234,1161,916,987,770,751,736,757,683,675,556,530,488,575,465,497,381,374,317,278,237,244,228,252,232,394,554,610,481,351,269
Comonfort,1947,1805,1898,1772,1734,1654,1474,1542,1730,1764,1509,1440,1328,1435,1452,1391,1414,1058,969,1093,1150,1018,1108,1203,1272,1407,1498,1500,1464,1404,1393,1359
Coroneo,335,337,333,336,289,329,253,269,280,246,217,260,233,187,209,145,169,133,132,87,91,73,85,74,49,89,85,95,24,29,8,13
Cortazar,1522,1616,1684,1544,1350,1109,1127,1288,1412,1471,1398,1613,1595,1558,1612,1603,1710,1375,1410,1280,1252,1264,1359,1369,1363,1519,1323,1436,1427,1478,1486,1488
Cuerámaro,829,842,682,752,825,776,886,990,931,928,880,802,824,885,891,876,815,739,695,597,666,524,533,540,626,627,569,579,441,360,355,373
Doctor Mora,527,571,561,513,490,556,505,573,489,526,497,459,437,423,433,399,379,332,313,273,222,217,206,150,108,92,60,61,54,49,43,63
Dolores Hidalgo Cuna de la Independencia Nacional,3679,3540,3828,3582,3698,3661,3481,3743,3776,3761,4176,4014,4080,4020,4442,4349,4283,4087,4489,4385,4471,4355,4993,5055,4709,4837,4899,4531,3931,4000,4071,4114
Guanajuato,4558,4744,4818,4810,4929,4636,4761,4929,4891,5560,5452,5252,5296,5474,5839,5691,5639,4864,4956,5994,4898,4522,4607,4564,4218,3768,3823,3633,3581,3635,3624,3703
Huanímaro,557,513,569,533,511,570,540,570,465,503,500,546,540,601,575,522,549,407,430,335,359,339,358,331,270,379,415,406,333,288,313,333
Irapuato,12888,13918,11717,12549,14077,13875,14097,14350,14431,14874,14700,14924,15342,13389,14315,14482,14738,13728,14226,13650,13558,13003,13577,13751,13674,13156,12909,13612,13267,13344,13060,13062
Jaral del Progreso,849,850,700,746,741,613,514,496,422,395,398,376,357,341,367,352,380,336,301,312,328,269,244,241,264,237,214,436,517,481,550,499
Jerécuaro,2027,1783,1867,1621,1566,1547,1346,1590,1529,1680,1242,1018,971,865,870,750,751,689,842,625,641,571,565,668,619,755,661,658,656,644,645,584
León,26212,33192,28110,30963,32572,32972,33507,37420,36488,39870,36235,36939,37746,38230,40737,39730,40925,36641,39689,39956,40353,37831,40906,39374,36585,36867,35050,34307,35232,35082,34903,34759
Moroleón,1303,1237,1380,1496,1416,1302,1256,1294,1309,1084,1066,1094,1173,1203,1385,1278,1199,1105,1280,1354,1322,1269,1291,1231,1029,975,937,892,1030,1281,1288,1283
Ocampo,776,813,842,864,779,698,728,618,632,617,658,580,594,603,582,532,604,454,442,381,315,257,258,276,210,208,155,108,114,84,60,77
Pénjamo,4414,3927,3388,3258,3448,3297,3257,3171,3396,3463,2916,3282,3397,3270,3013,2781,2867,2465,3236,3588,3757,3609,4018,3974,3685,3615,3630,3296,3209,3193,3215,3196
Pueblo Nuevo,530,350,304,329,283,354,372,367,367,355,369,342,347,386,345,339,307,285,343,326,278,249,264,219,192,191,140,183,133,119,77,48
Purísima del Rincón,766,522,429,485,431,382,258,348,363,366,333,412,295,276,427,215,269,144,119,124,222,239,319,299,393,750,859,759,813,756,706,539
Romita,1489,1443,1256,1143,1237,1177,1105,1204,1168,1341,1268,1053,869,771,727,694,531,510,535,436,432,449,636,733,638,670,742,739,654,630,517,442
Salamanca,6074,5982,6152,6194,6171,6374,6729,6712,6808,7311,7270,7102,6807,6741,6996,6658,7038,6162,6999,7190,7010,6624,7137,7364,6906,7294,6591,6464,6059,5956,6066,5608
Salvatierra,3131,3097,3412,3428,3383,2689,2714,3010,2989,2933,2762,2705,2524,2582,2458,2449,2366,2124,2210,2166,2305,1972,2198,2104,1956,2091,1885,1615,1725,1672,1756,1644
San Diego de la Unión,1130,954,1008,955,866,766,788,692,908,739,1255,821,828,730,763,634,582,515,532,426,401,355,260,176,168,155,145,153,248,290,406,448
San Felipe,3439,2997,2868,3088,2852,2409,2652,3119,3138,2928,2821,2770,2362,2219,2328,2236,1993,1812,1956,2086,1815,1493,1559,1679,1792,1950,1664,1615,1685,1646,1550,1466
San Francisco del Rincón,2681,2585,2336,2262,2923,2834,2854,3042,2863,2805,2862,2627,2691,3023,2802,2747,2432,2320,2245,2643,2316,2058,1852,2116,1918,1934,2300,2225,2214,2249,2122,2301
San José Iturbide,1293,1662,1449,1446,1412,1513,1280,1926,1589,1597,1515,2022,1937,1510,1476,1525,1499,1480,1625,1430,1474,1253,1148,1451,2134,2328,2456,2414,2342,2288,2225,2288
San Luis de la Paz,3542,3695,3739,3466,3792,3585,3902,4122,3958,4055,3818,3810,3631,3807,4044,4259,3706,3957,4196,3785,4340,3978,4614,4138,3753,3719,3470,3426,3692,3859,3954,3987
Santa Catarina,153,133,157,132,147,169,121,116,160,147,172,144,155,149,140,123,132,140,126,102,88,76,82,80,71,66,57,73,56,47,41,61
Santa Cruz de Juventino Rosas,2192,2128,2280,2183,2188,2106,1914,2171,2104,2163,1899,1834,1847,1861,1893,1818,1597,1427,1287,1169,1094,1023,1118,1238,1447,1565,1482,1442,1553,1425,1480,1526
Santiago Maravatío,240,237,224,231,183,198,159,134,160,132,122,104,150,122,110,64,76,43,30,34,17,14,20,15,14,10,7,4,1,5,,1
Silao de la Victoria,4026,3697,3195,3086,2990,2950,2746,2424,2253,2637,2220,2197,2258,1903,1838,1700,1603,1876,1876,2260,2886,2552,2914,2768,3751,4038,4244,4290,4495,4475,4078,4537
Tarandacuao,393,398,330,313,235,238,243,180,227,211,259,259,295,277,254,231,245,282,436,609,651,572,625,764,765,662,733,780,711,527,478,424
Tarimoro,1224,1028,1180,1231,1153,1108,769,787,867,902,791,652,721,678,640,512,415,407,374,257,210,196,224,288,417,615,431,374,310,234,238,165
Tierra Blanca,483,523,531,515,466,540,524,512,500,500,488,412,392,481,426,325,381,338,347,339,392,287,321,238,162,204,130,110,106,82,42,48
Uriangato,1296,1248,1210,1285,1462,1392,1433,1401,1738,1931,1980,2261,2203,2096,2207,2085,2111,1949,1740,1816,1957,1913,2046,2095,2298,2500,2579,2333,1877,1243,1161,1121
Valle de Santiago,4572,3775,4043,3685,3640,3418,3092,3066,3127,3228,2980,2921,2895,2842,2734,2636,2472,1987,2381,2216,1926,1709,1935,1867,1652,1552,2004,2306,2348,2161,2191,2170
Victoria,574,545,538,462,466,506,392,401,419,378,334,444,337,318,323,265,311,265,305,247,166,157,182,144,94,84,82,41,21,26,21,24
Villagrán,1523,830,786,635,451,419,438,479,543,531,486,407,364,431,463,518,565,608,545,656,633,568,589,547,643,709,801,841,806,695,685,674
Xichú,379,380,387,376,344,330,325,333,364,370,357,326,302,323,277,301,294,233,213,197,169,139,160,124,116,124,88,74,75,70,60,32
Yuriria,2607,2468,2499,2396,2410,2114,1690,1839,1770,1833,1543,1409,1411,1231,1112,1034,970,756,814,735,701,611,613,569,445,374,345,347,564,831,708,616
